Processed_Sentence,Etiket
ol yer devlet okul git devam et,fantastik
dikim tamamla giy tak,fantastik
dudley eski okul forma,fantastik
eski fil deri görün,fantastik
hala görün,fantastik
post gel,fantastik
git,fantastik
bay potter merdiven alt dolap,fantastik
marge hastalan,fantastik
bozuk salyangoz ye,fantastik
baba,fantastik
bak,fantastik
harry mektup gel,fantastik
mektup yazar,fantastik
kutu mektup atıl,fantastik
um ofis gün geçir tatlı,fantastik
kış,fantastik
git,fantastik
pazar sev,fantastik
kal hafta güzel gün,fantastik
se dudley,fantastik
pazar gün post gel,fantastik
i̇yi bil harry,fantastik
pazar post,fantastik
bugün lanet mektup,fantastik
hayır,fantastik
aptal mektup,fantastik
hayır efendim lanet mektup,fantastik
kes,fantastik
yeter yeter,fantastik
anne,fantastik
ver,fantastik
mektup ver,fantastik
bırak,fantastik
mektup,fantastik
bırak,fantastik
yeter,fantastik
git,fantastik
uzak bul yer,fantastik
baba akıl kaçır,fantastik
doğu gü kutlu,fantastik
dilek tut bak harry,fantastik
kap üzgün,fantastik
hemen bura terk et,fantastik
ev izin zorla gir,fantastik
kap çene dorsley,fantastik
bebek gör,fantastik
tahmin et şişman,fantastik
özellikle kar çevre,fantastik
harry değil,fantastik
evet sensin,fantastik
getir,fantastik
kork ara üzerine otur,fantastik
hala lezzet ol emin,fantastik
kendi yap,fantastik
yazı,fantastik
doğuum gü kutlu olsuun harry,fantastik
sağ ol,fantastik
delikanlı gün yaş bas,fantastik
özür dil kim,fantastik
rubeus hagrid hogwarts anahtarla etraf sorumlu kişi,fantastik
hogwarts hak bil,fantastik
üzgün hayır,fantastik
anne baba öğren merak et,fantastik
öğren,fantastik
büyücü harry,fantastik
ne,fantastik
büyücü,fantastik
iyi,fantastik
eğitim al,fantastik
hata ol,fantastik
büyücü ol,fantastik
harry,fantastik
harry,fantastik
harry,fantastik
yap,fantastik
açıkla,fantastik
öfke ol kork,fantastik
sayın bay potter,fantastik
hogwarts cadı büyücü okul,fantastik
kabul et bildir mutlu duy,fantastik
git,fantastik
saçmalık son ver yem et,fantastik
bil mu,fantastik
baş bil,fantastik
anlat,fantastik
bil,fantastik
haber,fantastik
mükemmel kızkardeş düşün,fantastik
mektup gel anne baba gurur duy,fantastik
aile cad,fantastik
harika,fantastik
gerçek yüz gör,fantastik
deli potter tanış,fantastik
doğ,fantastik
benze bil,fantastik
garip anormal ol,fantastik
git hava uçurt baş kal,fantastik
hava uçurt,fantastik
aile araba kaza öl söyle,fantastik
araba kaz,fantastik
lily james potter araba kaza öl,fantastik
söyle zor,fantastik
cüret,fantastik
skandal,fantastik
yer git,fantastik
önem muggle durdur,fantastik
muggle,fantastik
büyü insan,fantastik
çocuk ad doğ kayıt,fantastik
dünya cadı büyücü okul git,fantastik
hogwarts müdür gözetim alt ol,fantastik
albus dumbledore,fantastik
i̇htiyar deli büyü numara öğren par öde,fantastik
asla ön albus dumbledore,fantastik
hakaret et,fantastik
hogwarts kimse bahset memnun ol,fantastik
büyü yap kesinlikle yasak,fantastik
san gecik,fantastik
git,fantastik
kal tercih et başka,fantastik
birinci sınıf öğrenci 3 tak elbise,fantastik
as bulundur,fantastik
ekipman vazgeçilmez parça harry,fantastik
ejderha deri yap çift eldiven,fantastik
hagrid gerçek ejderha yap anlam gel,fantastik
tabi,fantastik
ora penguin yaz,fantastik
crikey ejderha sev,fantastik
ejderha sev,fantastik
yanlış anlaş hayvan harry,fantastik
yanlış anlaş,fantastik
öğrenci bulun gerek malzeme,fantastik
standart boy kalay kaz,fantastik
iste baykuş kedi kara kurbağa getir,fantastik
londra bul mi,fantastik
git bil,fantastik
hagrid san zaman,fantastik
hayır sağ tom,fantastik
hogwarts adına resmi görev,fantastik
harry nin okul malzeme al,fantastik
i̇nanamıyorum,fantastik
harry potter,fantastik
gel bay potter,fantastik
gel,fantastik
doris crockford,fantastik
siz tanış inan,fantastik
harry potter,fantastik
tanış sevin,fantastik
merhaba profesör,fantastik
gör,fantastik
prof quirrell kara büyü karşı savun ders öğretmen ol,fantastik
tanış sevin,fantastik
korkunç büyüle ders,fantastik
ihtiyaç potter,fantastik
evet git,fantastik
alışveriş yap,fantastik
hoş kalın,fantastik
gör harry,fantastik
ün,fantastik
ün,fantastik
ora insan ol bil,fantastik
anlat gerek ol emin değil,fantastik
diagon sokak gel harry,fantastik
tüy kalem mürekkep al,fantastik
büyücü gerekli ıvır zıvır,fantastik
dünya çap yarış süpürge,fantastik
vay can bak,fantastik
yeni nimbus 2000,fantastik
dünya hızlı model,fantastik
hagrid para öde,fantastik
para,fantastik
i̇şte para,fantastik
gringotts büyücü banka,fantastik
güven yok,fantastik
hogwarts,fantastik
hagrid ne,fantastik
cin,fantastik
zeki sevimli yaratık ol söylen,fantastik
sakın yan ayrıl,fantastik
bay harry potter par çek iste,fantastik
bay harry potter anahtar yanında,fantastik
dakika,fantastik
yer ol,fantastik
küçük şeytan bura,fantastik
başka,fantastik
profesör dumbledore ver,fantastik
gi̇zli̇,fantastik
i̇smi lazım hakkında bildik kasa,fantastik
687 numara kas,fantastik
lamb,fantastik
anahtar,fantastik
anne baba bırak düşün,fantastik
713 numara kas,fantastik
içinde hagrid,fantastik
söyle harry,fantastik
hogwarts,fantastik
gizli,fantastik
geri çekil,fantastik
kimse bahset harry,fantastik
hala as lazım,fantastik
hal ollivanders git,fantastik
iyi yok,fantastik
ön git bekle,fantastik
yap gerek,fantastik
merhaba,fantastik
zaman gör merak et bay potter,fantastik
anne baba,fantastik
dün asa al gel,fantastik
i̇şte buyur,fantastik
salla,fantastik
belli,fantastik
hayır hayır kesinlikle hayır,fantastik
önem,fantastik
ol,fantastik
i̇lginç,fantastik
ilginç,fantastik
özür dil ilginç,fantastik
bugün sat asa hatırla bay potter,fantastik
asa bulun,fantastik
kuyruk tüy ver anka kuş tüy ver,fantastik
tüy,fantastik
yüz yar iz neden kardeş,fantastik
asa kader son derece ilginç,fantastik
as kim,fantastik
isim ağız al,fantastik
as büyücü seç bay potter,fantastik
neden zaman açık değil,fantastik
san,fantastik
önem bekle açık,fantastik
i̇smi lazım kişi,fantastik
büyük işle,fantastik
korkunç,fantastik
evet büyük işle,fantastik
harry,fantastik
harry,fantastik
doğu gü kutlu,fantastik
i̇yi mi harry,fantastik
konuş,fantastik
anne baba öldür,fantastik
yap ada,fantastik
bil hagrid,fantastik
bil bil,fantastik
anla harry,fantastik
önem,fantastik
büyücü değil,fantastik
bazı yol sap,fantastik
yıl,fantastik
büyücü yol kötü biçim ayrıl,fantastik
ad,fantastik
ad yaz,fantastik
hayır yazma bil,fantastik
voldemort,fantastik
voldemort,fantastik
karanlık döne harry,fantastik
voldemort yandaş çağır,fantastik
karanlık güç yan topla,fantastik
karşı çık son ölüm,fantastik
anne baba karşı mücadele,fantastik
öldür kar ver kurtul,fantastik
voldemort öldür çalış,fantastik
evet,fantastik
alın sıradan yar harry,fantastik
lanet dokun ol,fantastik
kötü lanet,fantastik
i̇smi lazım,fantastik
bazı öl söyle,fantastik
sor saçmalık,fantastik
san hala yer,fantastik
devam et yorgun,fantastik
emin,fantastik
gece sen durdur,fantastik
yüz ün,fantastik
yüz ad bil,fantastik
hayat kal başar çocuk,fantastik
bak,fantastik
saat,fantastik
git zor,fantastik
dumbledore iste,fantastik
gör iste,fantastik
tren dakika kalk,fantastik
i̇şte bilet,fantastik
bilet sahip harry,fantastik
önem,fantastik
pero çeyrek,fantastik
hagrid yanlış ol,fantastik
pero çeyrek yaz,fantastik
özür dil,fantastik
özür dil,fantastik
sol koridor izle,fantastik
pero çeyrek,fantastik
komik ol çalış,fantastik
yıl aynı,fantastik
muggle larla dolu,fantastik
muggle lar,fantastik
pero çeyrek taraf,fantastik
percy,fantastik
fred,fantastik
fred,fantastik
biçim anne,fantastik
özür dil george,fantastik
şaka yap,fantastik
fred,fantastik
özür dil,fantastik
yar et,fantastik
pero git sor,fantastik
endişelen,fantastik
ron hogwarts git,fantastik
dokuzuncu onuncu peron ara duvar yürü,fantastik
heyecan koş,fantastik
i̇yi şans,fantastik
9 3 4 hogwarts ekspresi̇,fantastik
özür dil,fantastik
i̇zin ver mi,fantastik
başka ye dolu,fantastik
boş,fantastik
ad ron,fantastik
ron weasley,fantastik
harry,fantastik
harry potter,fantastik
demek doğru,fantastik
demek iste gerçekten,fantastik
yar iz,fantastik
korkunç,fantastik
iste mu çocuk,fantastik
teşekkür et yemek,fantastik
al hepsi,fantastik
bott çeşni fasulye,fantastik
gerçekten lezzet,fantastik
çikolata nane,fantastik
ıspanak karaciğer işkembe,fantastik
george kere sümük ye yem,fantastik
çikolata kurbağa,fantastik
gerçek kurbağa,fantastik
büyü,fantastik
önem kart,fantastik
paket ün cad büyücü,fantastik
ben 500 tane falan,fantastik
dikkat,fantastik
büyük şans,fantastik
zıpla,fantastik
benimki dumbledore,fantastik
ben yaklaşık 6 tane,fantastik
hey kaybol,fantastik
herhalde gün dur hal,fantastik
scabbers,fantastik
çirkin,fantastik
fred sarı dönüş büyü öğret,fantastik
gör mi,fantastik
i̇sterim,fantastik
kara kurbağa gör,fantastik
neville ad çocuk kaybet,fantastik
hayır,fantastik
büyü yap,fantastik
haydi göster bak,fantastik
güneş ışık papatya kasımpatı,fantastik
aptal şişko sıçan yap sarı,fantastik
gerçek büyü ol emin mi,fantastik
işe yar,fantastik
ev basit büyü dene,fantastik
işe yara,fantastik
örneğin,fantastik
oculus reparo,fantastik
imkan,fantastik
harry potter sın,fantastik
ad hermione granger,fantastik
ron weasley,fantastik
memnun ol,fantastik
iki üzer giy,fantastik
san var üzere,fantastik
burn leke,fantastik
bil mu,fantastik
şura,fantastik
birinci sınıfla taraf,fantastik
acele et birinci sınıfla,fantastik
ürkek dur,fantastik
haydi acele et,fantastik
merhaba harry,fantastik
merhaba hagrid,fantastik
kayık git,fantastik
acele et izle,fantastik
korkunç,fantastik
hogwarts gel,fantastik
kapı geç sınıf arkadaş katıl,fantastik
sıra otur kale ayrıl gerek,fantastik
gryffindor hufflepuff,fantastik
ravenclaw slytherin,fantastik
kal süre bölüm aile ol,fantastik
başarı siz puan kazan,fantastik
kural uy puan kaybet,fantastik
yıl puan bölü bölü kupa kazan,fantastik
trevor,fantastik
özür dil,fantastik
seçmen seremoni başla,fantastik
tren anlat demek gerçekten doğru,fantastik
harry potter hogwarts gel,fantastik
harry potter,fantastik
crabbe goyle,fantastik
malfoy,fantastik
draco malfoy,fantastik
demek se ad komik,fantastik
se sor,fantastik
kızıl saç ikinci cüppe,fantastik
weasley ol,fantastik
büyücü aile diğer anla,fantastik
yanlış kişi arkadaş iste,fantastik
yar et,fantastik
san yanlış kişi kendi seç,fantastik
sağ,fantastik
başla hazır,fantastik
izle,fantastik
tava gerçek,fantastik
gece gök görün büyü yap,fantastik
hogwarts tarihi n oku,fantastik
bekle mi,fantastik
başla,fantastik
prof dumbledore kelim söyle iste,fantastik
döne başla duyur iste uyar,fantastik
birinci sınıfla bil ol,fantastik
karanlık orman kesinlikle öğrenci yasak,fantastik
yönet bay filch siz hatırla iste,fantastik
sağ kanat üçüncü kat koridor acı çek,fantastik
öl iste öğrenci yasak,fantastik
teşekkür et,fantastik
ad söyle bura gel,fantastik
baş seçmen şapka yerleş,fantastik
seçil bölüm ayrıl,fantastik
hermione granger,fantastik
hayır,fantastik
sakin,fantastik
i̇nan kız kaçık,fantastik
evet,fantastik
gryffindor,fantastik
draco malfoy,fantastik
slytherin,fantastik
yol sap büyücü slytherin ol,fantastik
sus bones,fantastik
harry,fantastik
ne,fantastik
iyi,fantastik
bak,fantastik
bul,fantastik
hufflepuff,fantastik
ronald weasley,fantastik
weasley,fantastik
koyacak bil,fantastik
gryffindor,fantastik
harry potter,fantastik
zor,fantastik
zor,fantastik
cesur gör,fantastik
zeka fena,fantastik
yetenek,fantastik
evet,fantastik
kanıtla arzu,fantastik
yap,fantastik
slytherin ol,fantastik
slytherin ol,fantastik
slytherin ol,fantastik
emin mi,fantastik
bil harika ol,fantastik
kafa içinde,fantastik
yüksel slytherin yar et şüphe,fantastik
hayır,fantastik
emin,fantastik
zaman,fantastik
gryffindor,fantastik
dikkat,fantastik
ziyafet başla,fantastik
melez,fantastik
baba muggle anne cad,fantastik
öğren zaman baba büyük şok ol,fantastik
bak percy,fantastik
prof quirrell konuş öğretmen,fantastik
profesör snape,fantastik
slytherin bölüm başkan,fantastik
öğret,fantastik
i̇ksirler,fantastik
kara büyü sever,fantastik
quirrell yer kap çalış,fantastik
merhaba,fantastik
nasıl,fantastik
gryffindor gel,fantastik
bak kan baro,fantastik
merhaba sör nicholas,fantastik
tatil geç,fantastik
kötü,fantastik
kafatası avcı katıl talep reddet,fantastik
tanı,fantastik
baş nick si,fantastik
sakınca sör nicholas tercih et,fantastik
baş,fantastik
baş ol,fantastik
i̇şte,fantastik
gryffindor izle,fantastik
acele et,fantastik
teşekkür et,fantastik
ravenclaw izle,fantastik
taraf,fantastik
yatakhane git kısa yol,fantastik
merdiven dikkat et,fantastik
değiş sev,fantastik
acele et izle,fantastik
acele et,fantastik
haydi,fantastik
resim hareket,fantastik
şura bak harry,fantastik
san hoşlan,fantastik
bak,fantastik
kız,fantastik
hogwarts gel,fantastik
parola,fantastik
caput draconis,fantastik
izle,fantastik
sıradan ayrıl,fantastik
haydi,fantastik
bura top,fantastik
gryffindor ortak salon gel,fantastik
erkek yatakhane üst kat sol taraf,fantastik
kız aynı yer sağ,fantastik
eşya yukarı çıkar,fantastik
başar,fantastik
geç kal ihtiyar mcgonagall yüz ifade düşün mu,fantastik
son derece harika,fantastik
değerlendir sağ ol,fantastik
bay potter cep saat dönüş,fantastik
biri vaktinde gel,fantastik
kaybol,fantastik
harita dönüş,fantastik
emin sıra harita bul,fantastik
sınıf gerek yer as sallama aptal büyüle iste,fantastik
çoğu iksir yapım bili,fantastik
sanat anla bekle,fantastik
seçil,fantastik
yetenek öğrenci,fantastik
beyin büyüle duyu,fantastik
yanıl öğret,fantastik
şöhret şişele,fantastik
zafer yakala ölü durdur söyle,fantastik
bazı yetenek son derece,fantastik
emin,fantastik
der dikkat et,fantastik
özgüven sahip,fantastik
bay potter,fantastik
i̇şte yeni şöhret,fantastik
çiriş ot kök pelin ot toz karış el et,fantastik
bil mu,fantastik
başka dene,fantastik
bay potter bezoar bul iste ara,fantastik
bil efendim,fantastik
boğ ot kurt püskül ara fark ne,fantastik
bil efendim,fantastik
yazık,fantastik
belli şöhret,fantastik
bay potter,fantastik
emin hermione bil,fantastik
yazık sor,fantastik
sus,fantastik
i̇ndir el aptal kız,fantastik
bay potter çiriş ot kök pelin ot toz,fantastik
yaşa ölüm yudum ad ver,fantastik
son derece kuvvet uyku iksir el et,fantastik
bezoar keçi mide alın zehir koru taş,fantastik
bilgi,fantastik
boğ ot kurt püskül aconite ad bilinen,fantastik
bitki fark isim,fantastik
pekala,fantastik
defter not et,fantastik
gryffindor,fantastik
sınıf arkadışınızın küstahlığndan,fantastik
bölüm 5 puan alın not et,fantastik
tavşan göz kör ku rom dönüş su,fantastik
tavşan göz,fantastik
seamus su yap çalış,fantastik
rom dönüş,fantastik
dün açık çay dönüş,fantastik
post gel,fantastik
ödünç al mi,fantastik
sağ,fantastik
bak neville hatırla gel,fantastik
hakkında oku,fantastik
unut duma kırmızı dönüş,fantastik
unut hatırla,fantastik
ron gringotts soy,fantastik
dinle,fantastik
bilinmeyen kara büyücü cadı iş san,fantastik
olay anlat gringotts cin şey çal söyle,fantastik
söz konu 713 numara kas aynı gün boşal,fantastik
garip,fantastik
hagrid git kas,fantastik
i̇yi günle çocuk,fantastik
i̇yi günle bayan hooch,fantastik
i̇yi günle amanda,fantastik
i̇yi günle,fantastik
i̇lk uçuş ders gel,fantastik
evet bekle,fantastik
süpürge sol geç,fantastik
acele et,fantastik
sağ el süpürge üzerine koy yukarı de,fantastik
yukarı,fantastik
yukarı,fantastik
yukarı,fantastik
yukarı,fantastik
yukarı,fantastik
hisset,fantastik
kap çene harry,fantastik
süpürge sıkı tut üzerine bin iste,fantastik
sıkı tutun,fantastik
uç kayıp düş iste,fantastik
düdük çal biri sert yer vur iste,fantastik
süpürge denge tut bekle,fantastik
hafif öne eğil arka yer değdir,fantastik
düdük çal,fantastik
bay longbottom,fantastik
bay longbottom,fantastik
aşağı aşağı,fantastik
neville,fantastik
hemen aşağı in,fantastik
yol çekil,fantastik
durum,fantastik
vah vah bilek kır,fantastik
zavallı çocuk,fantastik
haydi bak ayak kalk,fantastik
bay longbottom revir götür ayak yer dur,fantastik
anlaş,fantastik
hava süpürge gör,fantastik
üzer kişi quidditch de fırsat bul hogwarts dan kov,fantastik
yüz gör,fantastik
sık popo üzerine düş hatırla,fantastik
ver malfoy,fantastik
hayır,fantastik
longbottom bul yer sakla,fantastik
dam de,fantastik
sor ne potter,fantastik
yüksek,fantastik
harry hayır yap,fantastik
bayan hooch de duy,fantastik
uç bil,fantastik
aptal,fantastik
hemen ver düşür,fantastik
demek,fantastik
hal iste,fantastik
harika harry,fantastik
iyi harry,fantastik
harry potter,fantastik
izle,fantastik
bekle,fantastik
profesör quirrell özür dil,fantastik
i̇zninizle wood ödünç al mi,fantastik
potter bay oliver wood,fantastik
wood yeni top tut bul,fantastik
duy,fantastik
harry potter gryffindor yeni top tut,fantastik
başarı ol bil,fantastik
top tut,fantastik
birinci sınıfla asla bölü takım alın,fantastik
genç top tut asır,fantastik
mcgonagall söyle,fantastik
tebrik et,fantastik
wood söyle,fantastik
fred george tak,fantastik
top at,fantastik
görev fazla hırpala önle,fantastik
söz ver,fantastik
quidditch sert oy,fantastik
yılla öl,fantastik
ara sır kaybol,fantastik
ay geri dön,fantastik
aldır,fantastik
quidditch harika,fantastik
oy o,fantastik
harika ol,fantastik
oyna,fantastik
komik durum düş,fantastik
komik durum düş,fantastik
kan,fantastik
top tut james potter,fantastik
harry baba top tut söyle,fantastik
bil,fantastik
söyle korkunç,fantastik
hakkında bil,fantastik
merdiven değiş hatırla,fantastik
taraf git,fantastik
merdiven tekrar değiş,fantastik
ol gerek düşün,fantastik
ol gerek,fantastik
üçüncü kat yasak bölge,fantastik
git,fantastik
filch kedi,fantastik
koş,fantastik
kap arka saklan,fantastik
kilit,fantastik
eyvah yan,fantastik
kenar çekil,fantastik
alohomora,fantastik
gir,fantastik
alohomora,fantastik
standart büyüle kitap yedinci bölü,fantastik
tatlı,fantastik
gel haydi,fantastik
filch git,fantastik
kapı kilit san,fantastik
kilit,fantastik
neden,fantastik
okul kilit alt tut yap san,fantastik
ne üzerinde dur gör,fantastik
ayak bak,fantastik
kafa bak meşgul,fantastik
fark et,fantastik
başlı,fantastik
kapak üzerinde dur,fantastik
rastlantı,fantastik
koru,fantastik
koru,fantastik
i̇kinizden hep öldür,fantastik
orta başka fikir at yat git,fantastik
kötü kov,fantastik
öncelik tekrar düşün,fantastik
quidditch anla kolay,fantastik
tak 7 oyun,fantastik
3 top kovala 2 at kaleci top tut,fantastik
çeşit top var,fantastik
ad quaffle,fantastik
top kovala quaffle al halka biri geçir çalış,fantastik
kaleci halka koru,fantastik
anla,fantastik
san,fantastik
ne,fantastik
al,fantastik
dikkat geri gel,fantastik
fena potter,fantastik
i̇yi at ol,fantastik
ne,fantastik
bludger,fantastik
küçük oy boz,fantastik
top tut,fantastik
düşün iste,fantastik
altın snitch,fantastik
top sev,fantastik
sev,fantastik
gör,fantastik
son derece hızlı gör imkan,fantastik
bu yap,fantastik
yakala,fantastik
rakip top tut,fantastik
yakala maç son er,fantastik
yakala potter kazan,fantastik
büyücü temel yetenek hava dur,fantastik
cisim uçur yetenek,fantastik
hep tüy getir,fantastik
güzel,fantastik
çalış zarif bilek hareket unut,fantastik
çevir hafif vur,fantastik
çevir hafif vur,fantastik
güzel,fantastik
söz,fantastik
wingardium leviosa,fantastik
gör,fantastik
wingardium leviosa,fantastik
wingardium leviosa,fantastik
ron bekle,fantastik
bekle bekle,fantastik
biri göz çıkar,fantastik
yanlış söyle,fantastik
doğrusu leviosa leviosar,fantastik
akıl yap zaman,fantastik
haydi haydi,fantastik
wingardium leviosa,fantastik
aferin,fantastik
bura bak,fantastik
bayan granger başar,fantastik
harika,fantastik
aferin tatlı,fantastik
san tüy ihtiyaç ol profesör,fantastik
leviosa leviosar,fantastik
kabus kız,fantastik
arkadaş ol şaşır,fantastik
san duy,fantastik
hermione,fantastik
parvati tuvalet çık iste söyle,fantastik
öğle sonra ağla geçir,fantastik
zindan troll,fantastik
zindan troll,fantastik
haber ver de,fantastik
sus,fantastik
panik kapıl,fantastik
bölü başkan bölüm yatakhane götür,fantastik
öğretmen peş zindan gelecek,fantastik
gryffindor acele et dikkatli ol,fantastik
troll içeri gir,fantastik
baş gir,fantastik
trolle aptal,fantastik
şaka yap,fantastik
hermione,fantastik
haber,fantastik
san troll zindan ayrıl,fantastik
kız tuvalet git,fantastik
hermione çık,fantastik
i̇mdat,fantastik
i̇mdat,fantastik
hey bezelye bey,fantastik
i̇mdat,fantastik
yap,fantastik
acele,fantastik
çevir hafif vur,fantastik
wingardium leviosa,fantastik
harika,fantastik
öl,fantastik
san,fantastik
bayıl,fantastik
troll sümük,fantastik
aman allah,fantastik
hemen anlat,fantastik
asıl suç profesör mcgonagall,fantastik
bayan granger,fantastik
troll ara gel,fantastik
baş çık san,fantastik
yanıl,fantastik
harry ron gel bul öl ol,fantastik
yap aptal hareket,fantastik
mantık davran bekle,fantastik
hayal kırık uğrat,fantastik
hata hareket,fantastik
gryffindor 5 puan kaybet,fantastik
beyefendi gel,fantastik
um şans ol fark,fantastik
birinci sınıf öğrenci troll karşı,fantastik
anlat uzun yaşa,fantastik
biri,fantastik
beşer puan ver,fantastik
şans ol,fantastik
git,fantastik
uyan,fantastik
i̇yi bela kurtar,fantastik
unut hayat kurtar,fantastik
unut kötü davran kurtar ihtiyaç ol,fantastik
dost için,fantastik
haydi lokma ekmek dost,fantastik
ron hak,fantastik
bugün güçlü ol gerek,fantastik
değil,fantastik
bugün şans potter,fantastik
troll karşı kanıtla,fantastik
quidditch maç kolay ol,fantastik
maç slytherin,fantastik
kan açıkla,fantastik
kan,fantastik
dün gece dikkat dağıt snape troll içeri al ol,fantastik
başlı köpek atlat,fantastik
köpek ısır,fantastik
yüz topalla,fantastik
köpek yan git,fantastik
gringotts hagrid kasa al,fantastik
hogwarts gizli söyle,fantastik
hal demek iste,fantastik
köpek koru,fantastik
snape iste,fantastik
post erken,fantastik
gel,fantastik
aç,fantastik
süpürge,fantastik
sıradan süpürge harry,fantastik
nimbus 2000,fantastik
kork mu harry,fantastik
normal,fantastik
i̇lk maç hisset,fantastik
ol,fantastik
hatırla,fantastik
i̇ki dakika kafa bludger ye,fantastik
hafta göz hastane aç,fantastik
hogwarts mevsim quidditch maç gel,fantastik
bugün karşı slytherin gryffindor ara,fantastik
oyun yer al,fantastik
bayan hooch maç başla saha çık,fantastik
hep güzel maç,fantastik
çıkarma iste,fantastik
bludgerler hazır,fantastik
altın snitch izle,fantastik
unut snitch 150 puan değer,fantastik
snitch yakala top tut maç son er,fantastik
quaffle salın maç başla,fantastik
angelina johnson say,fantastik
gryffindor 10 puan,fantastik
quaffle slytherin geç,fantastik
bletchley kap flint pas ver,fantastik
gryffindor puan kazan,fantastik
ver,fantastik
taraf tut,fantastik
harry nin süpürge,fantastik
snape süpürge büyü,fantastik
büyü,fantastik
yap,fantastik
bırak,fantastik
haydi hermione,fantastik
lacarnum inflamarae,fantastik
yangın,fantastik
yan,fantastik
haydi haydi haydi haydi,fantastik
kus görün,fantastik
snitch yakala,fantastik
harry potter snitch yakala 150 puan kazan,fantastik
kazan gryffindor,fantastik
saçmalık,fantastik
snape harry nin süpürge büyü yap,fantastik
bilir,fantastik
başlı köpek koru oda gir çalış,fantastik
fluffy bil,fantastik
fluffy,fantastik
şey ad,fantastik
i̇rlandalı biri al,fantastik
koru dumbledore,fantastik
söyle gerek,fantastik
başka soru sor,fantastik
gizli,fantastik
fluffy koru snape çal çalış,fantastik
saçmalık,fantastik
prof snape hogwarts öğretmen,fantastik
fark et,fantastik
büyü gör zaman anla,fantastik
konu oku,fantastik
göz tema yitir gerek,fantastik
snape göz kırp,fantastik
kesinlikle,fantastik
dinle,fantastik
üç karış gerek iş karış,fantastik
tehlike,fantastik
köpek koru dumbledore nicholas flamel ilgilen,fantastik
nicholas flamel,fantastik
söyle,fantastik
söyle,fantastik
nicholas flamel,fantastik
nicholas flamel,fantastik
bil,fantastik
mutlu noel mutlu noel,fantastik
hogwart çan çal,fantastik
mutlu noel mutlu noel,fantastik
noel büyü yap,fantastik
beş,fantastik
vezir beş,fantastik
kesinlikle barbar,fantastik
büyücü satranç,fantastik
hazır,fantastik
hazır,fantastik
planla değiş,fantastik
aile romanya,fantastik
ağabey charlie ziyaret et,fantastik
ejderha üzerine çalış,fantastik
güzel,fantastik
harry yar,fantastik
nicholas flamel bilgi bul kütüphane git,fantastik
yüzlerce araştır,fantastik
