Processed_Sentence,Etiket
emir,aksiyon
möö,aksiyon
baba,aksiyon
haber,aksiyon
ürün petrol kasaba git,aksiyon
yol çık,aksiyon
düşman bölge gir,aksiyon
yap baba,aksiyon
bak,aksiyon
bak,aksiyon
rictus,aksiyon
gör iste,aksiyon
rictus git bak bak baba üz,aksiyon
splendid,aksiyon
angharad,aksiyon
çocuklarimiz savaş beyleri̇ ol,aksiyon
dünyayi ki̇m katletti̇,aksiyon
nere,aksiyon
mal,aksiyon
bayan giddy,aksiyon
insa sahip ol,aksiyon
geç tepki göster,aksiyon
götür,aksiyon
yer götür,aksiyon
o git yalvar,aksiyon
götür,aksiyon
uzak,aksiyon
ne,aksiyon
slit,aksiyon
ne,aksiyon
slit,aksiyon
i̇hanet hıyanet muzaffer yol çık,aksiyon
muzaffer,aksiyon
kim,aksiyon
furiosa,aksiyon
ölümsüs joe dan sürü al,aksiyon
üre,aksiyon
ödül üre,aksiyon
geri iste,aksiyon
sürül,aksiyon
eylem onurlan,aksiyon
8,aksiyon
direksiyon,aksiyon
sür,aksiyon
mızrak,aksiyon
kendi terfi et,aksiyon
bugün,aksiyon
bugün gün,aksiyon
kendi bak,aksiyon
ayak kalk savaş,aksiyon
hak evlat,aksiyon
kalıp ahmak öl,aksiyon
çok ceset,aksiyon
doldur birazcık sıvı al lazım,aksiyon
vakit,aksiyon
kan torba al zaman,aksiyon
kan torba al mızrak tünek bağla,aksiyon
ağız üzerinde,aksiyon
azgın yabani,aksiyon
yüksek oktan çılgın kan doldur,aksiyon
öl,aksiyon
gazap yol tarih geç öl,aksiyon
evet,aksiyon
organic,aksiyon
efendim,aksiyon
kan torba yukarı çek,aksiyon
i̇şte,aksiyon
fazla al,aksiyon
kan al,aksiyon
araba al,aksiyon
ölümsüs,aksiyon
ölümsüs joe,aksiyon
bak,aksiyon
doğru bak,aksiyon
kan torba bak,aksiyon
kafa çevir,aksiyon
göz iç bak,aksiyon
ufuk tara,aksiyon
hayır,aksiyon
bek,aksiyon
valhalla bek,aksiyon
hay sik,aksiyon
ölümsüs,aksiyon
evet,aksiyon
hey,aksiyon
şura bak,aksiyon
şura bak,aksiyon
patron,aksiyon
kale araç gel,aksiyon
i̇şaret fişek at,aksiyon
petrol kasaba mermi çiftlik destek iste,aksiyon
ne,aksiyon
destek,aksiyon
yem,aksiyon
dolambaç yol,aksiyon
savaş tır arazi ara,aksiyon
aptal gel,aksiyon
sağ bak,aksiyon
şahin,aksiyon
sağ şahin,aksiyon
göz aç,aksiyon
bak,aksiyon
şahin sağ,aksiyon
göz aç,aksiyon
göz aç,aksiyon
evet,aksiyon
geri dön destek iç çek,aksiyon
iyi,aksiyon
gaz kökle,aksiyon
gürle,aksiyon
başla,aksiyon
nişan hazırla,aksiyon
morsov,aksiyon
hadi saldır,aksiyon
savaş,aksiyon
hazır,aksiyon
biz slit,aksiyon
biz,aksiyon
şahin uzaklaş,aksiyon
tertiple,aksiyon
kafa,aksiyon
kalk ayak,aksiyon
yap,aksiyon
morsov,aksiyon
morsov,aksiyon
olamaz,aksiyon
şahit ol,aksiyon
şahid,aksiyon
şahid,aksiyon
şahid,aksiyon
vasat morsov,aksiyon
vasat,aksiyon
hazır,aksiyon
hazır,aksiyon
arka yanaş,aksiyon
gel,aksiyon
nefes al,aksiyon
göz uzak dur,aksiyon
hemen,aksiyon
geri dön,aksiyon
hidrolik,aksiyon
hidrolik,aksiyon
i̇şte,aksiyon
ganimet ev götür,aksiyon
kaç san baba,aksiyon
aptal san,aksiyon
ek san,aksiyon
kökle gaz,aksiyon
kökle,aksiyon
dur,aksiyon
crew,aksiyon
çekil,aksiyon
çekil,aksiyon
yap,aksiyon
yap,aksiyon
ağırlık denge ihtiyaç,aksiyon
kan torba arka,aksiyon
yakala,aksiyon
yakala,aksiyon
hey kaf,aksiyon
boyun veda,aksiyon
vur kelle,aksiyon
i̇çeri gir slit,aksiyon
hadi,aksiyon
yakala,aksiyon
hadi,aksiyon
sabit tut,aksiyon
gün,aksiyon
sevimli gün,aksiyon
güneş tut valhalla yol al,aksiyon
ada,aksiyon
şahit kan torba,aksiyon
şahit,aksiyon
yaşa öl tekrar yaşa,aksiyon
geri dön,aksiyon
angharad rüzgar,aksiyon
öfke kızgın,aksiyon
al,aksiyon
kan torba,aksiyon
canlı ensele,aksiyon
parça ayır,aksiyon
parçala,aksiyon
kes,aksiyon
zincir,aksiyon
şu bak,aksiyon
parlak krom,aksiyon
minnettar ol,aksiyon
karşılık iste,aksiyon
savaş tır kullan iste,aksiyon
iste,aksiyon
ceket,aksiyon
ceket fazla iste,aksiyon
yeşil vadi git,aksiyon
bekle ikimiziz,aksiyon
anne yeşil vadi sin git,aksiyon
hisset,aksiyon
acı,aksiyon
acı,aksiyon
atlat iste mu,aksiyon
söyle yap,aksiyon
al al koş,aksiyon
kontak kilit,aksiyon
sırala kendi ayarla,aksiyon
tır ben yer git,aksiyon
bin,aksiyon
o,aksiyon
bekle zaman,aksiyon
kötü ada minnettar bel bağla,aksiyon
karı biri zarar ver,aksiyon
minnet duy se,aksiyon
2 000 beygir güç nitro it savaş makine otur,aksiyon
dakika avantaj de,aksiyon
yüz şey çıkma iste mu,aksiyon
git,aksiyon
bacak içinde git,aksiyon
sev bacak vur,aksiyon
bok herif,aksiyon
sırf yap söyle zor değil,aksiyon
başka şans,aksiyon
zarar ver,aksiyon
ihtiyaç,aksiyon
pazarlık,aksiyon
bal zarar ver,aksiyon
yeşil vadi gel de,aksiyon
asla,aksiyon
çük ye manyak bok herif tek,aksiyon
uzak dur,aksiyon
arka,aksiyon
petrol kasaba çocuk,aksiyon
mal zarar ver,aksiyon
gör,aksiyon
büyük tır,aksiyon
sansar,aksiyon
alev,aksiyon
i̇nsan yiyici,aksiyon
masraf hesapla gel,aksiyon
arka sürükle,aksiyon
san yakıt kapsül,aksiyon
hayır,aksiyon
git,aksiyon
pislik,aksiyon
ihanet et,aksiyon
gerek öldür,aksiyon
savaş çocuk öl iste,aksiyon
anlaş,aksiyon
delikaze,aksiyon
yarı yaşam son gel çocuk,aksiyon
değil,aksiyon
yaşa öl tekrar yaşa,aksiyon
tut,aksiyon
bağla,aksiyon
at git,aksiyon
sepetle git,aksiyon
fazla arkadaş gel,aksiyon
mermi çiftlik,aksiyon
mermi çiftlik gel,aksiyon
bit,aksiyon
karşı koy,aksiyon
seyret ahbap,aksiyon
güneş tut kişi,aksiyon
bak usta kandır savaş çocuk,aksiyon
yalan söyle ihtiyar,aksiyon
el yüksel,aksiyon
yüz logo sırt mühürle durum,aksiyon
damızlık,aksiyon
ölüm asker,aksiyon
hayır bek,aksiyon
yaş ada ölü git askeri,aksiyon
herkes öldür,aksiyon
suçlu değil,aksiyon
öyle dünya katlet,aksiyon
i̇lerideki yol anlaş yap,aksiyon
güven geçiş,aksiyon
hala geçerli bil,aksiyon
bagaj gir geri,aksiyon
kapak açık tut,aksiyon
ihtiyaç,aksiyon
tır sürme gerek,aksiyon
kal,aksiyon
kal,aksiyon
yap yap gör,aksiyon
bek,aksiyon
anlaş böyle,aksiyon
aşağı gel,aksiyon
ad,aksiyon
seslen,aksiyon
fark et,aksiyon
bil,aksiyon
zaman ahmak bağır,aksiyon
git hızlı sür git,aksiyon
sırala,aksiyon
kırmızı siyah çalış,aksiyon
anla,aksiyon
iste galon benzzin,aksiyon
kapsül yer çıkar,aksiyon
kaya bırak,aksiyon
araç peş ol,aksiyon
de,aksiyon
de,aksiyon
fark savaş taraf say,aksiyon
yap şans yaver git,aksiyon
hadi yap,aksiyon
ahmak,aksiyon
yakıt,aksiyon
hızar yol aç,aksiyon
geç taş temizle,aksiyon
herkes geçir,aksiyon
ölümsüs,aksiyon
ölümsüs joe,aksiyon
yan savaş çocuk,aksiyon
savaş tır de,aksiyon
tırman ara,aksiyon
hey,aksiyon
hey,aksiyon
bot ben,aksiyon
kan torba bot ben,aksiyon
al,aksiyon
bot ben,aksiyon
aile didiş,aksiyon
sağlık bebek,aksiyon
şarjör doldur,aksiyon
doldur,aksiyon
silah,aksiyon
silah ver,aksiyon
dol,aksiyon
hemen,aksiyon
anlaşma,aksiyon
rictus,aksiyon
karı içeri,aksiyon
fazla alev at,aksiyon
splendid,aksiyon
splendid,aksiyon
çocuk,aksiyon
mal,aksiyon
ölüms,aksiyon
ölümsüs tır çık içeri gir yol,aksiyon
ad,aksiyon
nux,aksiyon
omurga kargı sok,aksiyon
nefes al devam et sağla,aksiyon
kafa tane sık tır durdur,aksiyon
hazine geri getir,aksiyon
valhalla nın kapı taşı,aksiyon
bek mu,aksiyon
ebedi yol al parlak krom,aksiyon
rictus,aksiyon
çıkma yar,aksiyon
hazır mı,aksiyon
i̇şte başla,aksiyon
vasat,aksiyon
çük,aksiyon
dikkat et,aksiyon
angharad,aksiyon
i̇n,aksiyon
olamaz,aksiyon
angharad,aksiyon
dur,aksiyon
tır geri çevir,aksiyon
al geri dön,aksiyon
tır geri dön söyle,aksiyon
gör,aksiyon
teker alt gir,aksiyon
gör,aksiyon
teker alt gir,aksiyon
devam et,aksiyon
devam et,aksiyon
bahset bil,aksiyon
yeşil vadi git,aksiyon
aptal yeşil vadi,aksiyon
bil,aksiyon
mi,aksiyon
devam et,aksiyon
cheedo,aksiyon
cheedo aptal et,aksiyon
dur,aksiyon
affet,aksiyon
et bil,aksiyon
geri dön,aksiyon
kıymet,aksiyon
cheedo,aksiyon
kor alt,aksiyon
yüksek yaşam ver,aksiyon
kötü,aksiyon
eşya değil,aksiyon
hayır,aksiyon
cheedo eşya değil,aksiyon
eşya değil,aksiyon
duy iste,aksiyon
der,aksiyon
öl,aksiyon
üzüntü el ovuştur saç baş yol iste geri dön,aksiyon
geri dön,aksiyon
angharad,aksiyon
gel hadi,aksiyon
gel,aksiyon
yeşil vadi,aksiyon
doğu uzun gece yolcu,aksiyon
malzeme say yap,aksiyon
silah mermi eş iste,aksiyon
aşağı in tamirat yap,aksiyon
biri arka,aksiyon
git,aksiyon
kal iste,aksiyon
yap,aksiyon
iş,aksiyon
gör,aksiyon
gör,aksiyon
kan torba kız öldür tır kullan,aksiyon
yap kes,aksiyon
dur,aksiyon
kapı aç,aksiyon
kapı,aksiyon
valhalla bek,aksiyon
ad söyle,aksiyon
ölümsüs yürü kahraman ziyafet çek,aksiyon
demek kader yok,aksiyon
büyük bağışla san,aksiyon
takip aracı kullan fırsat,aksiyon
sür larry barry nefes kesme bırak,aksiyon
larry yle barry,aksiyon
dost,aksiyon
larry barry,aksiyon
hakla gece humma hakla,aksiyon
koca oğlan mermi hemen hemen iş yaramaz,aksiyon
ufaklık 29 ateşle,aksiyon
angharad bu antitohum der,aksiyon
tane ek biri ölüm izle,aksiyon
30 depo benzzin harca,aksiyon
19 tüp nitro 12 saldırı motosiklet 7 takip aracı,aksiyon
binek zarar,aksiyon
şimdi efendim bataklık sapla,aksiyon
hey joe,aksiyon
patron,aksiyon
hatun son nefes ver,aksiyon
çocuk,aksiyon
gel mu kardeş,aksiyon
bekle,aksiyon
se gittikçe azal,aksiyon
çık,aksiyon
çık,aksiyon
hadi,aksiyon
işkence çağır,aksiyon
sabır,aksiyon
kalıp yas tut baba,aksiyon
getir,aksiyon
dikkat,aksiyon
mal koru,aksiyon
tane öfke mermi,aksiyon
furiosa,aksiyon
deh,aksiyon
yazık,aksiyon
gel,aksiyon
düzgün insan ol,aksiyon
erkek mi,aksiyon
üstün alfa,aksiyon
hey rictus,aksiyon
erkek kardeş kaybet,aksiyon
açı mükemmel kardeş,aksiyon
erkek kardeş,aksiyon
küçük erkek kardeş,aksiyon
mükemmel,aksiyon
açı mükemmel,aksiyon
hadi,aksiyon
karı vur iste efendim,aksiyon
taciz et,aksiyon
yar et iste,aksiyon
savaş çocuk,aksiyon
çık,aksiyon
tır at san,aksiyon
hemen art yüksek ye,aksiyon
ağaç de,aksiyon
evet ağaç de,aksiyon
bırak,aksiyon
parlak ışık yaklaş silah se fark,aksiyon
çık dışarı,aksiyon
yap,aksiyon
makine bil,aksiyon
bil,aksiyon
mekanik,aksiyon
i̇ki mermi kal,aksiyon
tut,aksiyon
nefes al,aksiyon
savaş çocuk,aksiyon
vinç ağaç şey kullan,aksiyon
motor kaput al,aksiyon
aracı kullan,aksiyon
meşale tut,aksiyon
el meşale,aksiyon
yaklaş,aksiyon
göz ön,aksiyon
deh,aksiyon
deh,aksiyon
kan torba,aksiyon
adalet terazi,aksiyon
ölüm koro şef,aksiyon
şark söyle koch kardeş,aksiyon
söyle şark koch kardeş,aksiyon
söyle kardeş,aksiyon
söyle,aksiyon
söyle,aksiyon
ateş et bil,aksiyon
silah keyfi,aksiyon
parlak yap akıl gel,aksiyon
motor durum,aksiyon
sıcak susa,aksiyon
savaş tır yarım kilometre öte götür,aksiyon
motor soğu geri dön,aksiyon
devam et,aksiyon
misilleme,aksiyon
git,aksiyon
yar mı,aksiyon
kan ak,aksiyon
kan,aksiyon
ne,aksiyon
anne süt,aksiyon
sor,aksiyon
uyu,aksiyon
dinlen,aksiyon
ora bil,aksiyon
doğ,aksiyon
ayrıl,aksiyon
ayrıl,aksiyon
çocuk al,aksiyon
kaçır,aksiyon
yap,aksiyon
savaş tır kullan,aksiyon
el geçen fırsat,aksiyon
umut ara,aksiyon
kefaret,aksiyon
hatırla,aksiyon
i̇mdat,aksiyon
i̇mdat,aksiyon
yar et,aksiyon
yem,aksiyon
tır kalın,aksiyon
acele,aksiyon
geri dön,aksiyon
vuvalinilerdenim,aksiyon
anne,aksiyon
yetiş anne ad,aksiyon
concannon,aksiyon
mary jabassa nın kız,aksiyon
kundak köpek klan,aksiyon
göz tanıdık gel,aksiyon
jabassa nın çocuk,aksiyon
furiosa mız,aksiyon
gün,aksiyon
küsurat hatırla,aksiyon
furiosa,aksiyon
anne,aksiyon
öl,aksiyon
üçüncü günde,aksiyon
gel,aksiyon
batı,aksiyon
kale,aksiyon
dağ ardından,aksiyon
erkek,aksiyon
güven,aksiyon
bura gel yar et,aksiyon
güzel bul,aksiyon
yumuşak,aksiyon
diş yerinde,aksiyon
gör sabırsızlan,aksiyon
gör,aksiyon
gör,aksiyon
ev,aksiyon
yeşil vadi,aksiyon
batı gel yan geç,aksiyon
karga,aksiyon
karga dolu tuhaf ye,aksiyon
toprak,aksiyon
çık zor,aksiyon
su yok,aksiyon
zehir,aksiyon
acı,aksiyon
kir,aksiyon
karga gel,aksiyon
yetiş,aksiyon
diğer,aksiyon
diğer,aksiyon
anne,aksiyon
kal,aksiyon
bak,aksiyon
uydu dene,aksiyon
bayan giddy anlat,aksiyon
eskiden dünya mesaj yolla kullan,aksiyon
televizyon program,aksiyon
eskiden dünyada sev program,aksiyon
se hala mı,aksiyon
program yolla mu,aksiyon
bilir,aksiyon
ora sükut ov,aksiyon
i̇çeride kal minik joe,aksiyon
dışarı güzel yitir,aksiyon
bebek bekle,aksiyon
küçük savaş be,aksiyon
çirkin ol,aksiyon
kız,aksiyon
o insan öldür,aksiyon
gör herkes öldür,aksiyon
kafadan vur,aksiyon
hepsi,aksiyon
küt,aksiyon
ense kök,aksiyon
siz yap san,aksiyon
bura gel,aksiyon
bak,aksiyon
tohumla,aksiyon
ev getir,aksiyon
yadigar,aksiyon
gerçekle,aksiyon
bul fırsat biri dik,aksiyon
şimdi büyü,aksiyon
toprak kuru,aksiyon
çeşit,aksiyon
ağaçla çiçekle meyve,aksiyon
eskiden,aksiyon
eskiden kimse kafa uçur yok,aksiyon
konuş mi,aksiyon
diğer konuş,aksiyon
tuz çöl geç fırsat ol,aksiyon
tır bırak motosiklet mümkün ol al,aksiyon
160 günlük yolcu yap,aksiyon
motosiklet,aksiyon
depo dolu,aksiyon
biz gel sevin,aksiyon
yol git,aksiyon
umut hata,aksiyon
soru çöz,aksiyon
kafa ye,aksiyon
nere max,aksiyon
nere,aksiyon
yar,aksiyon
yar,aksiyon
yar et söz ver,aksiyon
hadi baba,aksiyon
git,aksiyon
pekala,aksiyon
ev gidiş yol,aksiyon
geri dön,aksiyon
geri,aksiyon
evet,aksiyon
deli geç san,aksiyon
de,aksiyon
gel yer dön iste,aksiyon
kale,aksiyon
kale,aksiyon
yeşil,aksiyon
inanılmaz miktar temiz,aksiyon
sürü bitki,aksiyon
i̇htiyacınız,aksiyon
yüksek kork,aksiyon
gel,aksiyon
yer alt pompala,aksiyon
su aqua kol de hepsi sahiplen,aksiyon
sahip hep sahip,aksiyon
ada şimdiden sev,aksiyon
dağ etraf dolan hafta sür,aksiyon
hayır,aksiyon
gel yol dön de,aksiyon
kanyon,aksiyon
açık bil,aksiyon
birlik geçir,aksiyon
öyle savaş tır al orta taarruz geç,aksiyon
geçit tanker ayır,aksiyon
arka geçit kapat,aksiyon
güm,aksiyon
kale al,aksiyon
sağ kal farz et,aksiyon
geçit kapat kolay,aksiyon
savaş kuçu savaş hasta savaş çocuk kal geri,aksiyon
yan nux ol,aksiyon
savaş çocuk,aksiyon
ev geri götür,aksiyon
yap gerek kaçır geri götür,aksiyon
evet,aksiyon
umut gel,aksiyon
plan sev,aksiyon
baştan başla,aksiyon
tıpkı eski gün,aksiyon
bak zor gün ol,aksiyon
te et taraf 160 gün yol gider,aksiyon
tuz başka bul,aksiyon
az şekil,aksiyon
tür kefaret bul,aksiyon
savaş tır,aksiyon
savaş tır,aksiyon
geri git,aksiyon
teslim iste,aksiyon
kanyon git,aksiyon
kale geri dön,aksiyon
savunma bil,aksiyon
sik,aksiyon
yürü,aksiyon
yürü,aksiyon
git,aksiyon
yap,aksiyon
dua et,aksiyon
dinle,aksiyon
başla kız,aksiyon
araba,aksiyon
ön geç tekerlek del çalış,aksiyon
motor patla,aksiyon
hızlan,aksiyon
birazcık,aksiyon
pislik,aksiyon
ihanet et,aksiyon
git,aksiyon
dinlen,aksiyon
birinci motor git,aksiyon
i̇ki patla,aksiyon
motor usta mı,aksiyon
birinci motor tamir hemen,aksiyon
ben beşinci teker gel,aksiyon
tanker çıkar,aksiyon
kişi mermi,aksiyon
gör,aksiyon
maadi,aksiyon
maadi,aksiyon
gör,aksiyon
hey,aksiyon
zıpkın pulluk,aksiyon
yavaşla,aksiyon
civata bırak,aksiyon
tane,aksiyon
bura bak,aksiyon
i̇yi mi,aksiyon
galiba yarala,aksiyon
hayır,aksiyon
hey,aksiyon
ben kal,aksiyon
ben kal,aksiyon
ben kal,aksiyon
kendi mi,aksiyon
iş bitir,aksiyon
iş bitir,aksiyon
valhalla,aksiyon
birinci motor,aksiyon
şimdilik,aksiyon
yarala,aksiyon
kötü yarala,aksiyon
duy,aksiyon
i̇ki tane uç gör,aksiyon
sürme gerek,aksiyon
yol çek,aksiyon
rictus,aksiyon
cheedo,aksiyon
yap,aksiyon
hayır,aksiyon
koca oğlan,aksiyon
gel,aksiyon
el tut,aksiyon
hayır,aksiyon
hatırla,aksiyon
öl,aksiyon
öl,aksiyon
geç güve ol pedal sıkış peş gel,aksiyon
hadi,aksiyon
geçit gel,aksiyon
şahid,aksiyon
rictus,aksiyon
ses çıkar,aksiyon
hava göğüs boşluk pompala,aksiyon
nefes al ciğer çök,aksiyon
bil,aksiyon
üzgün,aksiyon
bil,aksiyon
bil,aksiyon
tut,aksiyon
tut,aksiyon
bastır,aksiyon
yuva,aksiyon
yuva,aksiyon
hayır,aksiyon
hayır hayır olamaz,aksiyon
kan kaybet,aksiyon
kan ak,aksiyon
tut,aksiyon
lazım,aksiyon
sağ,aksiyon
i̇ğne,aksiyon
hadi,aksiyon
tut,aksiyon
uyanık tut,aksiyon
furiosa,aksiyon
geri çekil,aksiyon
i̇şte,aksiyon
yukarı kaldır,aksiyon
yukarı kaldır,aksiyon
pekala,aksiyon
affet,aksiyon
i̇şte,aksiyon
i̇şte,aksiyon
max,aksiyon
ad max,aksiyon
ad,aksiyon
dur,aksiyon
göster,aksiyon
taş,aksiyon
ölümsüs joe,aksiyon
ölümsüs joe öl,aksiyon
furiosa,aksiyon
furiosa,aksiyon
furiosa,aksiyon
furiosa,aksiyon
furiosa,aksiyon
geri gel,aksiyon
yukarı al,aksiyon
yukarı al,aksiyon
yukarı al,aksiyon
yukarı al,aksiyon
hadi yap,aksiyon
yukarı al,aksiyon
çorak toprak dolaş bizle ol ara git,aksiyon
i̇lk tarih i̇nsanı,aksiyon
