Processed_Sentence,Etiket
aşk açık kap de,animasyon
aşk açık kap,animasyon
aşk açık kap,animasyon
hayat dolu ol,animasyon
sen,animasyon
sen,animasyon
aşk açık kap,animasyon
çılgın söyle mi,animasyon
ben evlen mi,animasyon
çılgın söyle mi,animasyon
evet,animasyon
pardo,animasyon
affet,animasyon
geç mi,animasyon
sağ ol,animasyon
i̇şte,animasyon
elsa,animasyon
kraliçe,animasyon
güney ada prens hans tanış iste,animasyon
majeste,animasyon
i̇steriz onay al,animasyon
evlilik konu,animasyon
evlilik konu,animasyon
evlilik,animasyon
evet,animasyon
affet kafa karış,animasyon
detay hallet,animasyon
töre planla gün lazım,animasyon
çorba rosto dondurma ol,animasyon
saniye,animasyon
yaşa mı,animasyon
anna,animasyon
12 ağabey biz kal davet et,animasyon
hayır hayır hayır,animasyon
yeter oda,animasyon
bil bazı,animasyon
dur yavaş,animasyon
kimse ağabey kal,animasyon
evlen,animasyon
sen konuş mi,animasyon
baş baş,animasyon
hayır,animasyon
söyle ne var,animasyon
iki söyle,animasyon
yeni tanış biri evlen,animasyon
gerçek aşk evlen,animasyon
anna gerçek aşk hakkında bil,animasyon
bil,animasyon
bil insan dışla,animasyon
onay iste cevap hayır,animasyon
izin,animasyon
majeste iç rahatla,animasyon
hayır rahatla,animasyon
git,animasyon
parti bit,animasyon
kapı kapat,animasyon
majeste,animasyon
elsa hayır hayır,animasyon
dur,animasyon
eldiven ver,animasyon
elsa,animasyon
yaşa,animasyon
hal git,animasyon
yap,animasyon
yeter anna,animasyon
hayır,animasyon
dışla,animasyon
dünya dışla,animasyon
kork ne,animasyon
yeter de,animasyon
büyü,animasyon
şaibe dön bil,animasyon
elsa,animasyon
i̇şte gel,animasyon
majeste,animasyon
kraliçe yaşa,animasyon
kraliçe elsa,animasyon
biz,animasyon
kraliçe elsa,animasyon
majeste mi,animasyon
i̇şte,animasyon
durdur,animasyon
uzak dur,animasyon
uzak dur,animasyon
canavar canavar,animasyon
elsa,animasyon
elsa,animasyon
dur,animasyon
elsa dur,animasyon
anna,animasyon
olamaz,animasyon
körfez,animasyon
kar,animasyon
kar,animasyon
evet kar,animasyon
mi,animasyon
hayır,animasyon
bil mu,animasyon
hayır,animasyon
bak,animasyon
kar yağ,animasyon
kar yağ,animasyon
kraliçe toprak lanetle,animasyon
durdur,animasyon
peş düş,animasyon
dur hayır,animasyon
se büyücü,animasyon
canavar mı,animasyon
hayır hayır,animasyon
sıradan biri,animasyon
i̇yi yön,animasyon
abla canavar,animasyon
kal öldür,animasyon
buz üst kay,animasyon
buz,animasyon
kazara kork,animasyon
i̇steyerek yap,animasyon
hiçbiri iste,animasyon
akşam ol suç,animasyon
zorla,animasyon
yüz peş düş gerek,animasyon
evet,animasyon
at getir,animasyon
anna,animasyon
tehlike,animasyon
elsa tehlike değil,animasyon
geri getir düzelt,animasyon
sen gel,animasyon
arendelle baş kal iste,animasyon
şeref,animasyon
sorumluluk prens hans bırak,animasyon
güven emin mi,animasyon
zarar gör iste,animasyon
abla,animasyon
asla zarar ver,animasyon
kar dağ üst parılda gece,animasyon
görün ayak iz,animasyon
i̇zole et krallık,animasyon
kraliçe farazi,animasyon
rüzgar iç girdap uğulda,animasyon
el gele yap iç tut tanrı bil,animasyon
gör al içeri,animasyon
i̇yi kız ol zaman,animasyon
gizle hisset,animasyon
öğren iz ver,animasyon
bil,animasyon
boş ver bırak,animasyon
zapt et,animasyon
boş ver bırak,animasyon
dön git çarp kapı yüz,animasyon
söyle umur,animasyon
bırak kop fırt,animasyon
soğuk dokun,animasyon
tuhaf uzaklaş küçük görün,animasyon
zamanla kontrol korku,animasyon
işle,animasyon
gör vakit gel ne yap,animasyon
sınır sına engel geç,animasyon
yanlış,animasyon
kural görmez göz,animasyon
özgür,animasyon
bırak bırak,animasyon
rüzgar gökyüzü ol,animasyon
bırak bırak,animasyon
asla ağla,animasyon
i̇şte bura,animasyon
kal,animasyon
bırak kop fırt,animasyon
güç havadan yayıl yer ulaş,animasyon
ruh yan don fraktal dön dur,animasyon
buz patla açık çık düşünce,animasyon
asla dön,animasyon
geçmiş geçmiş kal,animasyon
boş ver bırak,animasyon
şafak vakit doğ yeni gün,animasyon
bırak bırak,animasyon
kusur kız,animasyon
gün ışık dimdik ayak,animasyon
bırak kop fırt,animasyon
soğuk dokun,animasyon
elsa,animasyon
elsa,animasyon
elsa anna,animasyon
yaz kış çevirme iste kız kardeş,animasyon
özür dil,animasyon
suç,animasyon
sır söyle ol ol,animasyon
gıcık,animasyon
hayır hayır,animasyon
dön bura,animasyon
hayır hayır,animasyon
kar kar yağ ol,animasyon
körfez beyaz kum sıcak hava doldur,animasyon
tropikal sihiri ol ol,animasyon
ateş,animasyon
gezgin oaken ticaret merkezi,animasyon
sauna var,animasyon
büyük yaz indirim,animasyon
mayo takunya,animasyon
icat güneş krem yarı fiyat,animasyon
harika,animasyon
bot,animasyon
kış bot giy ara,animasyon
kış bölüm mevcut,animasyon
merak et başka genç hanım,animasyon
kraliçe mesela geç,animasyon
fırtına dışarı çık çılgın sensin hayat,animasyon
arkadaş,animasyon
büyük yaz indirim,animasyon
havuç,animasyon
arka,animasyon
anla,animasyon
pardo,animasyon
temmuz ay ol,animasyon
gel,animasyon
kuzey dağ ndan,animasyon
kuzey dağ,animasyon
40,animasyon
40,animasyon
hayır 10 dan fazla et,animasyon
can kurtar,animasyon
kış stok,animasyon
arz talep konu büyük sorun mevcut,animasyon
arz talep sorun bahset iste,animasyon
iş buz sat,animasyon
zor ol,animasyon
cidden,animasyon
talih bak,animasyon
hala 40,animasyon
iste oaken sauna ziyaret hak ver,animasyon
sela aile,animasyon
10,animasyon
yardımcı,animasyon
10 yeter,animasyon
söyle kuzey dağ nda,animasyon
sihir şe benze,animasyon
evet,animasyon
geri çekil sahtekar iş hallet,animasyon
de,animasyon
gül gül,animasyon
hayır sven havuç al,animasyon
yat ye bul,animasyon
bedavadan,animasyon
şiddet olay kusur bak,animasyon
memnun ayrıl,animasyon
lutefisk yemek ver,animasyon
kıyafet bot,animasyon
re geyik insan,animasyon
sven se,animasyon
evet insan hırpala küfret kazık at,animasyon
kötü,animasyon
sağ dost,animasyon
insan re geyik güzel kok,animasyon
sven se,animasyon
söyle,animasyon
bil,animasyon
yat zaman,animasyon
i̇yi gecele zaman,animasyon
soğuk don aman,animasyon
güzel düet,animasyon
sensin demek,animasyon
iste,animasyon
kuzey dağ götür iste,animasyon
kimse yer götür,animasyon
başka şekil ifade et,animasyon
kuzey dağ götür,animasyon
kış bitir bil,animasyon
gün ağar git,animasyon
sven havuç unut,animasyon
affet pardo pardo,animasyon
git,animasyon
derhal,animasyon
sıkı tut,animasyon
hızlı git sev,animasyon
hız sev,animasyon
i̇ndir ayak,animasyon
yeni cilala,animasyon
ahır büyü yahu,animasyon
hayır şato büyü,animasyon
kraliçe kafa buzla kır,animasyon
suç,animasyon
nişanla duy çıldır,animasyon
ada gün tanış,animasyon
evlilik rıza göster söyle,animasyon
saniye,animasyon
gün tanış biri nişanla,animasyon
evet,animasyon
deli dön deli dön,animasyon
çek git çalış eldiven çek,animasyon
dur,animasyon
gün tanış biri nişanla söyle,animasyon
evet dikkat dağıt,animasyon
sürekli eldiven tak,animasyon
kir karşı takıntı düşün,animasyon
aile tanı insan konu uyar,animasyon
evet uyar,animasyon
hans yabancı,animasyon
soyadı,animasyon
ada prens,animasyon
sev yemek,animasyon
sandviç,animasyon
yakın arkadaş ad,animasyon
john herhalde,animasyon
göz renk,animasyon
rüya,animasyon
ayakkabı numara,animasyon
ayak büyük önem,animasyon
o yemek ye,animasyon
yemek ye şekil nefret et,animasyon
burn karış nefret et,animasyon
burn karış,animasyon
sümük ye,animasyon
affet bay prens,animasyon
erkek yap,animasyon
önem gerçek aşk,animasyon
gerçek aşk benze,animasyon
aşk uzma falan mı,animasyon
hayır arkadaş,animasyon
aşk uzma arkadaş,animasyon
hadi ora,animasyon
sus,animasyon
hayır hayır,animasyon
o tanış iste,animasyon
ciddi,animasyon
sven yürü,animasyon
yürü,animasyon
kurt,animasyon
kurt,animasyon
yap,animasyon
hallet,animasyon
düş ye yeter,animasyon
yar et iste,animasyon
ne,animasyon
karar güven,animasyon
anla,animasyon
yeni tanış biri evlen,animasyon
gerçek aşk de,animasyon
christopher,animasyon
ad kristoff,animasyon
baş,animasyon
kal yak,animasyon
yak,animasyon
zıpla hazır sven,animasyon
yap söyle,animasyon
söyle,animasyon
zıpla sven,animasyon
borç yeni bit,animasyon
olamaz,animasyon
hayır hayır,animasyon
tut,animasyon
çek sven çek,animasyon
kızak iç şey yeni al,animasyon
yar et iste anla,animasyon
yar et iste,animasyon
ol kimse yar et,animasyon
baş öl,animasyon
ilgilen,animasyon
öl yeni kızak al,animasyon
hoşlan,animasyon
bekle gel,animasyon
peş takıl,animasyon
arendelle,animasyon
ye don,animasyon
düzel,animasyon
elsa buz çöz,animasyon
evet,animasyon
hadi,animasyon
kuzey dağ taraf git,animasyon
ziyade taraf,animasyon
kışın güzel ol bil,animasyon
evet güzel,animasyon
bembeyaz,animasyon
renk ol,animasyon
kızıl mesela açık yeşil,animasyon
sarı mesela sarı,animasyon
sarı kar,animasyon
hak mı,animasyon
sela,animasyon
korkut,animasyon
i̇stemiyorum,animasyon
düşür,animasyon
alt taraf kaf,animasyon
at,animasyon
kötü başlangıç yap,animasyon
vücut at,animasyon
bak,animasyon
yara asıl,animasyon
dur bekle,animasyon
teşekkür et,animasyon
şey,animasyon
hayat tepetaklak ol,animasyon
sert affet,animasyon
beyin dön,animasyon
i̇yi mi,animasyon
dalga geç,animasyon
mükemmel,animasyon
bur iste,animasyon
şeker,animasyon
boynuz yavru,animasyon
dur,animasyon
sev,animasyon
baştan al,animasyon
selamla olaf,animasyon
sıcak kucak sev,animasyon
olaf,animasyon
olaf,animasyon
anna,animasyon
dehşetli göz bak eşek,animasyon
sven,animasyon
re geyik,animasyon
sven,animasyon
demek iki,animasyon
kolay,animasyon
bak burn öp çalış,animasyon
sev,animasyon
olaf elsa,animasyon
evet,animasyon
bil mu,animasyon
evet,animasyon
yol göster mi,animasyon
evet,animasyon
çalış,animasyon
kes sven,animasyon
dikkat bura ver,animasyon
evet,animasyon
neden söyle,animasyon
elsa nın yaz geri getir gerek,animasyon
yaz,animasyon
bil yaz fikir zaman sev,animasyon
güneş şey sıcak,animasyon
sıcak haşır neşir ol galiba,animasyon
evet,animasyon
göz kapat,animasyon
yaz gel ol hayal et,animasyon
arıla vızılda çocuk çiçek polen oyna,animasyon
kar yazın yap ol,animasyon
el içki kar kızgın kum sal,animasyon
muhtemelen yazın muhteşem şekil bronz,animasyon
kış fırtına atlat yaz esinti ne gör,animasyon
hava ısın zaman öğren katı su,animasyon
merak et arkadaş düşün gör,animasyon
yazın hava ol düşün,animasyon
sıcak soğuk etkile kendince,animasyon
ara getir dahice,animasyon
kışın ev kalıp sar yat güzel zaman,animasyon
yaz mevsim koy,animasyon
mutlu kar ada ol zaman,animasyon
hayat zor gel zaman hayal tutun,animasyon
kendi yaz güneş stres at düşün huzur bul,animasyon
gökyüzü ol masmavi,animasyon
siz yan ol,animasyon
don yazın yap ol,animasyon
söyle,animasyon
yap de sakın,animasyon
yazın,animasyon
hadi,animasyon
elsa taraf,animasyon
git yaz geri getir,animasyon
gel,animasyon
biri söyle,animasyon
hayır hayır,animasyon
kabuk kısım üstüne koy,animasyon
kabuk kısım dış dur,animasyon
taraf kuru,animasyon
kabuk kısım yukarı,animasyon
kabuk kısım aşağı,animasyon
pe,animasyon
pe iste,animasyon
arendelle siz minnettar ekselans,animasyon
şato herkes açık,animasyon
büyük salon çorba sıcak kokteyl servis,animasyon
dağıt,animasyon
prens hans arendelle ticaret mal hibe et,animasyon
otur don bekle,animasyon
prenses anna emir ver,animasyon
ayrı olay,animasyon
prenses hep et kötü büyücü kumpas kur,animasyon
kafa dank,animasyon
prenses şüphe et had,animasyon
sorumluluk ver,animasyon
arendelle vatan hain karşı koru çekin,animasyon
vatan hain,animasyon
dur oğul,animasyon
sakin sakin,animasyon
prenses anna nın at,animasyon
ol,animasyon
prenses anna nın baş dert,animasyon
bul ben gelecek gönül ara,animasyon
adam ver lord,animasyon
şe hazırlık ol,animasyon
kraliçe karşı,animasyon
kış son ver,animasyon
anla,animasyon
hava son ver planla,animasyon
abla konuş,animasyon
plan,animasyon
buz iş abla konuş bağ,animasyon
kork mu,animasyon
kork,animasyon
evet,animasyon
emin elsa kibar,animasyon
cana yakın insan,animasyon
bak,animasyon
kazık sapla,animasyon
dik,animasyon
halat,animasyon
dağ tırman bil,animasyon
de,animasyon
yap,animasyon
abla gör,animasyon
öl bak,animasyon
yerinde ol ayak koy,animasyon
dikkat dağıt,animasyon
elsa nın sen görüş iste bil,animasyon
görmez gel konsantre ol lazım,animasyon
dağ kaybol insan genelde kal iste,animasyon
kal iste,animasyon
değil,animasyon
arkadaş unut,animasyon
aşk uzman de,animasyon
evet aşk uzman,animasyon
kal söyle,animasyon
yukarı hava kuru,animasyon
bekle,animasyon
sven,animasyon
soru çöz bil,animasyon
git iste yer uzan merdiven bul,animasyon
şükür,animasyon
yakala,animasyon
sağ,animasyon
çılgın güven deneme,animasyon
buz bak ağla galiba,animasyon
çekin,animasyon
eleştir,animasyon
yavaş,animasyon
gel bura tut,animasyon
kal evlat,animasyon
kusur,animasyon
çal çal kapı,animasyon
çal,animasyon
kapı çalacak bil de,animasyon
aç,animasyon
i̇lk,animasyon
bekle,animasyon
son erkek tanış don,animasyon
yap,animasyon
buz saray,animasyon
buz hayat,animasyon
görüş sven,animasyon
olaf,animasyon
dakika bekle,animasyon
elsa,animasyon
anna,animasyon
anna,animasyon
elsa fark görün,animasyon
i̇yi anlam fark,animasyon
muhteşem,animasyon
sağ,animasyon
ne yap bil,animasyon
ol üzgün,animasyon
bil,animasyon
hayır önem,animasyon
özür dile,animasyon
git,animasyon
yeni gel,animasyon
arendelle ait,animasyon
hayır anna,animasyon
bura aidim,animasyon
baş,animasyon
kimse zarar ver,animasyon
kendi ol,animasyon
konu gel 58 59 60,animasyon
sela,animasyon
olaf sıcak kucak sev,animasyon
olaf,animasyon
yap,animasyon
hatırla,animasyon
canlı mı,animasyon
galiba,animasyon
çocuk yap,animasyon
evet,animasyon
yakın,animasyon
ol,animasyon
yavaş,animasyon
anna,animasyon
hayır ol,animasyon
gül gül anne,animasyon
elsa dur,animasyon
hayır koru çalış,animasyon
koru zor değil,animasyon
kork,animasyon
dışla,animasyon
kapı yüz çarp,animasyon
ara mesafe koy,animasyon
ezel beri,animasyon
anla,animasyon
ezel beri düzelt ver ele,animasyon
dağ baş aşağı et,animasyon
yaşa zor değil korku içinde,animasyon
ezel beri,animasyon
hemen yanında ol,animasyon
anna ev dön,animasyon
hayat bekle,animasyon
güneş tat çık kapı,animasyon
evet niyet bil,animasyon
bırak de,animasyon
evet yalnız bağımsız,animasyon
uzak dur güve ol,animasyon
güve değil,animasyon
demek güve değil,animasyon
bil galiba,animasyon
bil,animasyon
arendelle,animasyon
karla alt,animasyon
yer bit bil kış başla,animasyon
yer,animasyon
sor buz çöz bit,animasyon
çöz,animasyon
yap bil,animasyon
yap,animasyon
yap bil,animasyon
ezel,animasyon
aptal,animasyon
özgür ol,animasyon
kork,animasyon
i̇çimdeki fırtına kaç,animasyon
hallet,animasyon
lanet kontrol et,animasyon
yarat fırtına tersine çevir,animasyon
anna kötü hal sok de,animasyon
panik yap,animasyon
korku dolu yan,animasyon
yaz güneş tekrar parla,animasyon
güve değil,animasyon
göğüs ger,animasyon
yap,animasyon
anna,animasyon
i̇yi mi,animasyon
i̇yiyim şey,animasyon
fark et,animasyon
git,animasyon
hayır,animasyon
çöz bil,animasyon
kış sonlan gücün,animasyon
durdur mi,animasyon
anna git bence,animasyon
sen git elsa,animasyon
evet git,animasyon
bırak,animasyon
i̇ndir,animasyon
defol,animasyon
dikkat,animasyon
popo dikkat,animasyon
i̇nsanları fırla,animasyon
cesur yürek sakin bak,animasyon
sakin sakin,animasyon
bırak ada kar adam yap,animasyon
sakin,animasyon
güzel,animasyon
yap,animasyon
kız,animasyon
dikkat dağıt,animasyon
kaç,animasyon
hayır hayır,animasyon
zor ol,animasyon
yap,animasyon
hakla,animasyon
30 metre,animasyon
60 metre de,animasyon
kazı,animasyon
i̇pi kara sabitle,animasyon
düş,animasyon
aşağı metre yeni yağ kar,animasyon
yas üstüne düş ol,animasyon
um,animasyon
anna de,animasyon
de,animasyon
i̇ki atla hazır,animasyon
doğuştan hazır,animasyon
sakin,animasyon
form düş,animasyon
i̇şte,animasyon
anna,animasyon
sven,animasyon
kaybol,animasyon
marshmallow geri bırak,animasyon
bahset,animasyon
güzel söyle güzel,animasyon
hayır,animasyon
fark yarat,animasyon
olaf,animasyon
dayan çocuk,animasyon
hızlı,animasyon
kristoff,animasyon
geri gel,animasyon
gel,animasyon
hak,animasyon
yastık düş,animasyon
olaf,animasyon
bacak hisset,animasyon
bacak hisset,animasyon
bacak,animasyon
rica et popo tut mı,animasyon
sven,animasyon
bul,animasyon
hanimiş minnoş re geyik,animasyon
o konuş,animasyon
gel,animasyon
i̇yi mi,animasyon
sağ,animasyon
baş,animasyon
iyi,animasyon
kafatası kalın,animasyon
kafatası,animasyon
kemik,animasyon
yap,animasyon
yap,animasyon
yap,animasyon
yap,animasyon
baş at,animasyon
hava böyle arendelle dön,animasyon
buz iş,animasyon
buz iş dert et,animasyon
saç dert asıl,animasyon
uçur düş,animasyon
saç bak,animasyon
saç beyazla,animasyon
beyazla,animasyon
vur,animasyon
kötü görün,animasyon
hayır,animasyon
duraksa,animasyon
hayır duraksa,animasyon
anna yard ihtiyaç,animasyon
gel hadi,animasyon
git,animasyon
arkadaş gör,animasyon
aşk uzma ol,animasyon
aşk uzman,animasyon
merak et çöz,animasyon
bil,animasyon
yap gör,animasyon
kendi aşk uzma düşün hoş git,animasyon
topla,animasyon
kontrol,animasyon
hisset,animasyon
hisset,animasyon
hisset,animasyon
bak sven,animasyon
gökyüzü uyan,animasyon
üşü,animasyon
bura gel,animasyon
arkadaş,animasyon
arkadaş de ziyade aile say,animasyon
çocuk sven baş,animasyon
ara ala,animasyon
yap,animasyon
evet,animasyon
korkut iste münasebet ol,animasyon
gürültü,animasyon
gürültü,animasyon
ara sır inatçı tut,animasyon
baskı,animasyon
ağır,animasyon
ağır,animasyon
iyi,animasyon
kristoff muhteşem insan benze,animasyon
zaman,animasyon
aile tanış,animasyon
sela millet,animasyon
taş,animasyon
kafa ye,animasyon
vay kal tanı,animasyon
kilo al,animasyon
